date,currency_code,euro_rate,inverse
2021-08-25,THB,0.0262,38.1679
2021-08-25,USD,0.8551,1.1695
2021-08-25,AUD,0.6206,1.6113
2021-08-25,HKD,0.1098,9.1075
2021-08-25,CAD,0.6781,1.4747
2021-08-25,NZD,0.5949,1.681
2021-08-25,SGD,0.632,1.5823
2021-08-25,EUR,1.0049,0.9951
2021-08-25,HUF,0.0029,344.8276
2021-08-25,CHF,0.9366,1.0677
2021-08-25,GBP,1.1741,0.8517
2021-08-25,UAH,0.032,31.25
2021-08-25,JPY,0.0078,128.2051
2021-08-25,CZK,0.0394,25.3807
2021-08-25,DKK,0.1351,7.4019
2021-08-25,ISK,0.0067,149.2537
2021-08-25,NOK,0.0969,10.3199
2021-08-25,SEK,0.0984,10.1626
2021-08-25,HRK,0.1342,7.4516
2021-08-25,RON,0.2039,4.9044
2021-08-25,BGN,0.5138,1.9463
2021-08-25,TRY,0.1018,9.8232
2021-08-25,ILS,0.2651,3.7722
2021-08-25,CLP,0.0011,909.0909
2021-08-25,PHP,0.0172,58.1395
2021-08-25,MXN,0.0423,23.6407
2021-08-25,ZAR,0.0572,17.4825
2021-08-25,BRL,0.163,6.135
2021-08-25,MYR,0.2032,4.9213
2021-08-25,RUB,0.0116,86.2069
2021-08-25,IDR,0.0001,10000.0
2021-08-25,INR,0.0115,86.9565
2021-08-25,KRW,0.0007,1428.5714
2021-08-25,CNY,0.1321,7.57
2021-08-25,XDR,1.2153,0.8228
